,PA01H:CO,PA01H:PM10,PA01H:PM25,PA01H:NO2,PA01H:NO,PA01H:NOX,PA01H:O3,OBJECTID
,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,0
,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,1
,Monoxyde de carbone,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,CO,PM10,PM25,NO2,NO,NOX,O3,3
,mg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/13 09:00:00+00,,27.200000,16.700000,,,,7,301
2021/01/13 10:00:00+00,,23.100000,14.300000,,,,8,302
2021/01/13 11:00:00+00,,16.500000,12.100000,,,,12.400000,303
2021/01/13 12:00:00+00,,13,11.600000,,,,31.800000,304
2021/01/13 13:00:00+00,,12.900000,7.900000,,,,45.700000,305
2021/01/13 14:00:00+00,,10.600000,5.500000,,,,49.900000,306
2021/01/13 15:00:00+00,,,6.500000,,,,48.500000,307
2021/01/13 16:00:00+00,,4.600000,4.800000,,,,48.300000,308
2021/01/13 17:00:00+00,,6,5.600000,,,,51.700000,309
2021/01/13 18:00:00+00,,6.200000,5.600000,,,,50,310
2021/01/13 19:00:00+00,,6.100000,4.900000,,,,55.900000,311
2021/01/13 20:00:00+00,,8.100000,6.200000,,,,58.100000,312
2021/01/13 21:00:00+00,,7.700000,4.700000,,,,62.800000,313
2021/01/13 22:00:00+00,,6.700000,6.900000,,,,63.400000,314
2021/01/13 23:00:00+00,,6.400000,7.300000,,,,65,315
2021/01/14 00:00:00+00,,7.100000,5.900000,,,,64.900000,316
2021/01/14 01:00:00+00,,6.300000,6.500000,,,,65.700000,317
2021/01/14 02:00:00+00,,5.600000,7.100000,,,,67.300000,318
2021/01/14 03:00:00+00,,,5.300000,,,,67.800000,319
2021/01/14 04:00:00+00,,,5.400000,,,,66,320
